,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_resampler,param_selector,param_selector__estimator__C,param_resampler__k_neighbors,param_classifier__max_depth,param_classifier__min_samples_leaf,param_selector__threshold,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
57,8.817619180679321,1.2057133150761616,0.07948479652404786,0.012419425695414387,"LogisticRegression(max_iter=2000, random_state=42)",1.0,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",0.1,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 0.1}",0.8926847007883567,0.902389638652024,0.8909169232431264,0.8941803957579358,0.8982632024343253,0.8956869721751538,0.004137619437388228,207
86,2.593443489074707,0.2229253507849325,0.06245012283325195,0.004657347224337955,"LinearSVC(class_weight='balanced', random_state=42)",0.5,passthrough,"SelectFromModel(estimator=LinearSVC(C=np.float64(1.0), class_weight='balanced',
                                    dual=False, max_iter=50000, penalty='l1',
                                    random_state=42, tol=0.001))",1.0,,,,,"{'classifier': LinearSVC(class_weight='balanced', random_state=42), 'classifier__C': 0.5, 'resampler': 'passthrough', 'selector': SelectFromModel(estimator=LinearSVC(C=np.float64(1.0), class_weight='balanced',
                                    dual=False, max_iter=50000, penalty='l1',
                                    random_state=42, tol=0.001)), 'selector__estimator__C': 1}",0.8922068433046233,0.9024142249869389,0.8912926952231766,0.8942036226795584,0.8982942616899835,0.8956823295768561,0.00413944619125501,208
80,1.5339609146118165,0.17000803283272803,0.06697959899902343,0.0055636395278330945,"LinearSVC(class_weight='balanced', random_state=42)",0.5,passthrough,passthrough,,,,,,"{'classifier': LinearSVC(class_weight='balanced', random_state=42), 'classifier__C': 0.5, 'resampler': 'passthrough', 'selector': 'passthrough'}",0.8921882909786433,0.9024182776795076,0.8912952159743602,0.8942047930283225,0.8982948018509516,0.8956802759023569,0.004143336164877152,209
69,8.720338773727416,0.7443846986495465,0.06648287773132325,0.003865137813541761,"LogisticRegression(max_iter=2000, random_state=42)",10.0,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",0.1,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 10, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 0.1}",0.8926775860614033,0.9023362331699557,0.8909004483336035,0.894212175228218,0.8982561803417418,0.8956765246269844,0.004122018872494335,210
87,2.2689074516296386,0.14064244410397295,0.05419473648071289,0.005208383354477119,"LinearSVC(class_weight='balanced', random_state=42)",0.5,passthrough,"SelectFromModel(estimator=LinearSVC(C=np.float64(1.0), class_weight='balanced',
                                    dual=False, max_iter=50000, penalty='l1',
                                    random_state=42, tol=0.001))",10.0,,,,,"{'classifier': LinearSVC(class_weight='balanced', random_state=42), 'classifier__C': 0.5, 'resampler': 'passthrough', 'selector': SelectFromModel(estimator=LinearSVC(C=np.float64(1.0), class_weight='balanced',
                                    dual=False, max_iter=50000, penalty='l1',
                                    random_state=42, tol=0.001)), 'selector__estimator__C': 10}",0.8921854991237629,0.902418007500003,0.8912655971479501,0.8941900286285311,0.8983017339167071,0.8956721732633909,0.004151925604176566,211
67,16.626041889190674,3.0909707570896297,0.06907176971435547,0.004061160577561694,"LogisticRegression(max_iter=2000, random_state=42)",1.0,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",10.0,7.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 7, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 10}",0.8930844763952724,0.901531008186529,0.8905316984461369,0.8941700426727164,0.8989487567295052,0.8956531964860319,0.004010915058091722,212
34,30.587200736999513,3.22469186518701,0.0685269832611084,0.01621198715674581,"LogisticRegression(max_iter=2000, random_state=42)",0.01,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",1.0,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.01, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 1}",0.8924767526296795,0.9029967319987727,0.8906193845766038,0.8947905075712562,0.8973780586614811,0.8956522870875586,0.004314532403213323,213
71,15.936209344863892,2.678136688392876,0.06819720268249511,0.004231296415079788,"LogisticRegression(max_iter=2000, random_state=42)",10.0,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",10.0,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 10, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 10}",0.893248385294706,0.9009584978163641,0.8906496335908102,0.8947351410720394,0.8986667927042259,0.8956516900956292,0.0037118609155356026,214
20,5.398577737808227,0.5831593740981418,0.060937690734863284,0.0030116790732142183,"LogisticRegression(max_iter=2000, random_state=42)",0.01,SMOTE(random_state=42),passthrough,,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.01, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': 'passthrough'}",0.8923779569908452,0.9031923419600748,0.8906038999621888,0.8946559174634041,0.8974248726120385,0.8956509977977103,0.00440896090226688,215
35,15.572594690322877,3.0085316427478612,0.07197551727294922,0.008366937693206863,"LogisticRegression(max_iter=2000, random_state=42)",0.01,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",10.0,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.01, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 10}",0.892384891598129,0.9031948636354505,0.8906048902572967,0.8945926286033238,0.8974417076288734,0.8956437963446147,0.004412869600171843,216
